wkn,name,instrument_id
110231,DBR 1 1/2 05/15/23,50642
110232,BUNDANL.V.13/23,48797
113492,DBR 6 1/4 01/04/24,47294
113504,DBR 6 1/2 07/04/27,51584
113506,DBR 5 5/8 01/04/28,55871
113508,DBR 4 3/4 07/04/28,42716
113514,DBR 6 1/4 01/04/30,44888
113517,DBR 5 1/2 01/04/31,60353
113522,DBR 4 3/4 07/04/34,54830
113527,DBR 4 01/04/37,58253
113532,DBR 4 1/4 07/04/39,58991
113543,DBR 3 1/4 07/04/42,51773
193811,RAGB6 1/4 07/15/27,44471
197017,SPGB 6 01/31/29,53969
230386,BGB 5 1/2 03/28/28,51074
230567,FRTR5 1/2 04/25/29,50987
230570,NETHER 5 1/2 01/28,45449
254660,BNP 0 PERP,361905
406178,FRTR8 1/4 04/25/22,680168
406557,FRTR8 1/2 04/25/23,52391
409270,NETHER 7 1/2 01/23,47687
413038,FRTR 6 10/25/25,51869
607762,SPGB5 3/4 07/30/32,53012
686543,FRTR5 3/4 10/25/32,54080
724183,TITIM 7 3/4 01/24/33,56507
727319,FRTEL 8 1/8 01/33,45617
728317,DT 7 1/2 01/24/33,55925
748537,RWE 5 3/4 02/14/33,48548
753897,TELEFO 5 7/8 02/33,46775
755460,EDF 5 5/8 02/21/33,56252
810177,AXASA 0 10/29/49,42551
816814,VIEFP 6 1/8 11/33,43874
825943,AXASA 0 12/29/49,58151
859275,IKBFND 0 PERP,361899
876224,SZEFP 5 3/4 06/24/23,50663
905497,PEUGOT 6 09/19/33,53435
908043,ENELIM 5 1/4 09/29/23,44003
909462,RESFER 5 10/10/33,48794
A0AXF2,AXASA 0 04/29/49,306868
A0AXNP,FRTR4 3/4 04/25/35,52226
A0BA7Q,VATFAL 5 3/8 04/24,59210
A0BCKS,BGB 5 03/28/35,56828
A0BECW,CMARK 0 PERP,361893
A0D24Z,DPB 0 06/29/49,306946
A0D2B5,NETHER 4 01/15/37,56600
A0D2FH,PORTIG 6 05/29/49,306934
A0DAFX,AEGON 0 PERP,361863
A0DCAG,ROTHSCH.+CO CONT.F.04/UND,1251372
A0DDUL,SANTAN 0 09/29/49,58895
A0DEGR,AXASA 0 10/29/49,57854
A0DEN7,DPB 0 12/29/49,307045
A0DFNS,CCNORD 0 11/29/49,306943
A0DG9U,ENBW4 7/8 01/16/25,55487
A0DGDV,SYDBANK 04/UND. FLR,1251375
A0DHJ4,AXASA 6 12/29/49,48854
A0DHK9,BFCM 0 12/29/49,307015
A0DT5T,"CASINO,GUICH-PER. 05/UND.",1660491
A0DUDM,ARGENT 0 12/15/35,42854
A0DW8E,SPGB 4.2 01/31/37,42365
A0DXAK,AXASA 0 01/29/49,43706
A0DY6J,PEMEX 5 1/2 02/25,55238
A0DYWY,BFCM 0 02/28/49,48965
A0DZ5V,HBOS 4 1/2 03/18/30,58781
A0DZFW,FRTR 4 04/25/55,53144
A0DZJ2,OBRKRF 4 1/2 03/04/25,182196
A0DZTD,CNPFP 0 03/29/49,306784
A0E465,HESLAN 5 1/2 06/29/49,54404
A0E581,GSK 4 06/16/25,57827
A0E6FU,SUEDZU 5 1/4 06/49,49628
A0EKD5,NDB 0 06/29/49,268668
A0EUBN,NDB 5 5/8 06/29/49,54458
A0G18M,HESLAN 5 3/4 12/29/49,306880
A0G1AD,OTPHB 5 7/8 11/29/49,43547
A0G4X4,RAGB 4.15 03/15/37,45812
A0GFB8,GE 4 1/8 09/19/35,43106
A0GND4,NETHER 3 3/4 01/23,59564
A0GP0C,PGB 4.1 04/15/37,43637
A0GQP0,NIBCAP 0 PERP,361896
A0GSPZ,BGB 4 03/28/22,55046
A0GV31,ETHIAS VIE 05/UND. FLR,1584228
A0GX3N,FRTR 4 10/25/38,48008
A0JCC0,VW 2 1/8 04/04/22,46610
A0JCCW,VW 2 3/8 09/06/22,52772
A0JCCZ,VW 2 5/8 01/15/24,53360
A0LNL5,GE 4 5/8 02/22/27,45758
A0NRKE,TSCOLN 5 1/8 04/47,51344
A0NULV,PG 4 7/8 05/11/27,57419
A0NW92,VOD 5 3/8 06/06/22,49067
A0NXYY,SPGB 4.9 07/30/40,52304
A0T1MP,SPGB 4.8 01/31/24,57299
A0T71M,TOTAL 5 1/8 03/24,58472
A0TSC4,GE 6.025 03/01/38,51527
A0TTZT,ENIIM 5.441 04/18/28,45653
A0TUQG,IMMIGON PORTF. 08/UND.FLR,1251381
