wkn,name,instrument_id
263526,ISHARESJUMPFANDB,44189
263527,DIVDAX EX FD,43400
263528,DJ SX5E DIV 30EX,43391
263529,ISHARES DJ STOXX SEL. DIV.,43871
263530,ISHARES DJ STOXX 600 (DE),43901
541779,LYX.D.JON.IN.AV.U.ETF D,57332
552752,IS CO.FTSE 100 U.ETF LSD,99978
593392,MDAX EX,42539
593393,ISHS CORE DAX UC.ETF EOA,42446
593394,ISH.STOXX EUROPE 50 U.ETF,44609
593395,ISH.CORE EO STOX.50 U.ETF,58361
593396,ISHARES SLI UCITS ETF DE,43058
593397,TECDAX EX,43658
593398,ISHARES DJ STOXX LARGE 200 (DE),44375
593399,ISH. DJ STOXX MID 200(DE),49700
622391,ISHARES S&P 500,43715
626678,LYXOR CAC 40(DR)UE D,288775
628930,ISH. EURO STOXX BANKS(DE),44564
628938,IS.DJ GLOB.TITAN.50 U.ETF,50006
628939,IS.DJ INDUST.AVERAG.U.ETF,43571
628946,ISH.EB.REXX GOVERNM.GERM.,46667
628947,ISH. EB.R.GOV.GER.1.5-2.5,50561
628948,ISH. EB.R.GOV.GER.2.5-5.5,56189
628949,ISH. EB.R.GOV.GER5.5-10.5,55220
633611,UBS-ETF MSCI EMU,46235
676773,VANG.TOTAL STK MKT I.ETFS,1515156
724776,ISHARES TR.-PHLX SOX S.S.,1662756
778928,I-SHAR EURO CORP. BOND LARGE,251490
787716,LYX.DJ GL TI.50 U.ETF,1371777
794357,UBSLFS-ESTOXX50UETF AHSKD,49133
794358,UBSLFS-MSCI USA DLAD,48338
794361,MSCI JAPAN,52745
794362,UBSLFS-FTSE 100 LSAD,55232
798328,LYX.EU.ST.50(DR)U.E. ACC,47186
801498,INVESCOM3 NASDAQ-100 A,42674
911950,I-SHAR $ CORP. BOND,251475
935926,ISHS II-STXX EUR.50 EODIS,55868
935927,ISHSII-CORE E.STOXX50 EOD,47642
A0BK8J,ISHS TR.-SELECT DIV. ETF,1687101
A0BLNG,LYXOR FTSE MIB(DR)U.ETF D,288784
A0BLUH,UBS ETF (CH) - SMI SFAD,601189
A0CA55,IS FTSE 250 U.ETF LSD,380129
A0CANA,GOLD BULL.SECS 04/UND. ZO,1371951
A0D8Q0,ISHARES EURO STOXX U.ETF,56162
A0D8Q2,ISHARES ATX UCITS ETF,52556
A0D8Q3,ISH. EB.R.GOV.GER.10.5+,50759
A0D8Q4,IS.DJ U.S.SELEC.DIV.U.ETF,43013
A0D8QZ,DJ STOXX 200 SML,46088
A0D95M,IS S.DOM GO.BD7-15ETF(CH),601201
A0DK60,I-SHAR MSCI JAPAN,251442
A0DK61,IS EO STOXX SM.U.ETF EOD,251469
A0DK6Y,I-SHAR EURO STOXX MID,251463
A0DK6Z,I-SHAR CHINA LARGE CAP,251439
A0DKL3,IS CO.LS CO.BD U.ETF LSD,380111
A0DPEL,ISHARES SMIM ETF (CH),601192
A0ERY9,BNP P.EASY-FTSE E./N.EURO.CAP.,47759
A0ESMK,LYXOR ETF JAPAN (TOPIX),58622
A0F5UE,ETF DJ CHINA OFF,49544
A0F5UF,ISHARES NASDAQ-100 U.ETF,42380
A0F5UG,IS.DJ EUROZ.SUST.SC.U.ETF,49493
A0F5UH,ISHARES DJ STOXX GLOBAL SELECT DIVIDEND 100 (DE),879880
A0F5UJ,ISHRS STX600 BANKS,54587
A0F5UK,IS.S.E.600 BA.RE.U.ETF A.,48593
A0F6CX,BNP P.E.CAC 40 ESG EO C,1560441
A0H072,ISHS DIV.COMM.SWAP UC.ETF,42623
A0H074,IS.DJ AS.PAC.S.D.30 U.ETF,44072
A0H078,I.MA.IB.EO L.S.C.1.5-10.5,47705
A0H08D,ISHARES NIK225,48737
A0H08E,ISHRS STX600 CHEMICALS,59534
A0H08F,ISHRS STX600 CONSTRUCTION & MATERIALS,42572
A0H08G,ISHRS STX600 FINANCIAL SERVICES,44492
A0H08H,ISHRS STX600 FOOD & BEVERAGE,46928
A0H08J,ISHRS STX600 INDUSTRIAL GOODS & SERVICES,51077
A0H08K,ISHRS STX600 INSURANCE,48035
A0H08L,ISHRS STX600 MEDIA,59903
A0H08M,IS.S.E.600 OIL+G.U.ETF A.,44015
A0H08N,ISHRS STX600 PERSONAL & HOUSEHOLD GOODS,57596
A0H08P,ISHRS STX600 RETAIL,54191
A0H08Q,ISHRS STX600 TECHNOLOGY,52385
A0H08R,ISHRS STX600 TELECOMMUNICATIONS,54128
A0H08S,ISHRS STX600 TRAVEL & LEISURE,52235
A0HGV0,ISHS-MSCI WORLD DL D,42578
A0HGV1,ISHARES INFL. GOV. BONDS,49745
A0HGV3,IS EO.TO.MA.G.L.U.ETF EOD,251457
A0HGV4,I-SHAR EURO DIVIDEND,251466
A0HGV5,I-SHAR EUROP. PROPERTY YIELD,251472
A0HGV6,ISHS-UK DIVIDEND LS D,251496
A0HGV9,I-SHAR MSCI FAR EAST EX-JAPAN,251445
A0HGWA,IS MSCI BRAZ.U.ETF USD D,251514
A0HGWB,ISHS-MSCI EAST.EUR.C.DL D,251505
A0HGWC,IS MSCI EM U.ETF USD D,48803
A0HGWD,I-SHAR MSCI KOREA,251448
A0HGWE,I-SHAR MSCI TAIWAN,251454
A0HGWF,ISHS-AEX U.ETF EO D,380138
A0J201,ISHS-MSCI NTH AMERICA DLD,251508
A0J202,I-SHAR $ TREASURY BOND 1-3YR,251478
A0J203,I-SHAR ASIA PACIFIC DIVIDEND,251451
A0J204,IS MSCI EU.XUK U.ETF EOD,251511
A0J205,I-SHAR EURO GOVERNMENT BOND 1-3,251493
A0JDGC,LYXOR ETF MSCI EUROPE,48389
A0JK68,M.A.-R.INT.COM.IN.UETF,880090
A0JMFG,LYX.MSCI USA ESG (DR)UE D,59192
A0KRJ0,WITR COM.SEC.DZ06/UN.HEAT,47837
A0KRJ1,WITR COM.SEC.DZ06/UN.HOGS,44426
A0KRJ2,WITR COM.SEC.DZ06/UN.CATL,60173
A0KRJ3,WITR COM.SEC.DZ06/UN.NGAS,54482
A0KRJ4,WITR COM.SEC.DZ06/UN.NICK,54098
A0KRJ5,WITR COM.SEC.DZ06/UN.SLVR,44456
A0KRJ6,WITR COM.SEC.DZ06/UN.SOYO,50618
A0KRJ7,WITR COM.SEC.DZ06/UN.SOYB,43502
A0KRJ8,WITR COM.SEC.DZ06/UN.SUGA,42722
A0KRJ9,WITR COM.SEC.DZ06/UN.WEAT,59906
A0KRJS,WITR COM.SEC.DZ06/UN.ALUM,49220
A0KRJT,WITR COM.SEC.DZ06/UN.COFF,57593
A0KRJU,WITR COM.SEC.DZ06/UN.COPA,59873
A0KRJV,WITR COM.SEC.DZ06/UN.CORN,53465
A0KRJW,WITR COM.SEC.DZ06/UN.COTN,54764
A0KRJX,WITR COM.SEC.DZ06/UN.WTI,42656
A0KRJY,WITR COM.SEC.DZ06/UN.UGAS,48986
A0KRJZ,WITR COM.SEC.DZ06/UN.BULL,44450
A0KRK0,WITR COM.SEC.Z06/UN.NGAS,1371987
A0KRK1,WITR COM.SEC.Z06/UN.NICK,1371990
A0KRK2,WITR COM.SEC.Z06/UN.SLVR,1371993
A0KRK3,WITR COM.SEC.Z06/UN.SOYO,1371996
A0KRK4,WITR COM.SEC.Z06/UN.SOYB,1371999
A0KRK5,WITR COM.SEC.Z06/UN.SUGA,1372002
A0KRK6,WITR COM.SEC.Z06/UN.WEAT,1372005
A0KRK7,WITR COM.SEC.Z06/UN.ZINC,1372008
A0KRK8,WITR COM.SEC.Z06/UN. IND.,1372026
A0KRK9,WITR COM.SEC.Z06/UN.IDX,1372011
A0KRKA,WITR COM.SEC.DZ06/UN.ZINC,54104
A0KRKB,WITR COM.SEC.DZ06/UN.IDX,54728
A0KRKC,WITR COM.SEC.DZ06/UN.IDX,56792
A0KRKD,WITR COM.SEC.DZ06/UN.IDX,44264
A0KRKF,WITR COM.SEC.DZ06/UN.IDX,48290
A0KRKG,WITR COM.SEC.DZ06/UN.IDX,49511
A0KRKJ,WITR COM.SEC.DZ06/UN.IDX,54425
A0KRKK,WITR COM.SEC.DZ06/UN.IDX,57917
A0KRKL,WITR COM.SEC.DZ06/UN.IDX,59021
A0KRKP,WITR COM.SEC.Z06/UN.ALUM,1371954
A0KRKQ,WITR COM.SEC.Z06/UN.COFF,1371957
A0KRKR,WITR COM.SEC.Z06/UN.COPA,1371960
