wkn,name,instrument_id
163701,ACATIS Aktien Deutschland ELM A,247500
164325,DJE Dividende & Substanz P €,48260
164326,DJE Dividende & Substanz I €,332878
214466,Sauren Global Defensiv A,42440
255243,3 Banken Österreich-Fonds,57155
257158,HSBC GIF Europe Value AC,332938
257546,RB LuxTopic Aktien Europa A,333211
260621,HSBC GIF Europe Value AD,333124
358491,Nordea-1 Norwegian Equity BP EUR,58451
502347,UniEM Global,1429674
515240,DWS GERMAN SMALL/MID CAP,73784
515246,DWS SDG Global Equities LD,53393
515262,DEKA-TECHNOLOGIE CF,1483563
531444,UniStrategie: Offensiv,1428957
531696,R+P Universal,51632
531712,Sarasin-FairInvest-Universal I,881086
531840,DWS ESG Stiftungsfonds LD,488247
532009,Lingohr Europa Systematik INVEST,43010
532431,apo Forte INKA R,1428960
532633,W&W Dachfonds GlobalPlus,1428963
532678,UniSelection: Global I,1428966
534049,Raiffeisen-Nachh-Europa-Aktien VT,332917
534304,Amundi Total Return A € DA,53228
541664,C-QUADRAT ARTS BEST MOMENTUM T,52025
541954,DKB Nachhaltigkeitsfonds SDG,332998
542164,SEB Concept Biotechnology D €,1429677
554004,DekaStruktur: 3 Chance Plus,1429683
570769,Nestor Australien B,48242
577341,JPM Greater China A dist $,1472577
577941,SISF Euro Corporate Bond € A acc,813260
577954,MAGELLAN C,56240
577995,BL Global Equities B,57158
578792,Vontobel Sust Europ Mid&SmCap Eq B €,332935
589686,Deka-Stiftungen Balance CF,488244
591730,Raiffeisen-Eurasien-Aktien A,46388
602312,Templeton Eastern Europe N acc €,333109
602744,Templeton European Opport. A acc €,49340
602967,JPM Europe Equity A acc $,332893
603474,Fidelity European Dynamic Growth A €,178653
622904,Raiffeisen-Osteuropa-Aktien VT,56777
630928,BGF World Healthscience A2 $,1617318
630940,BGF Sustainable Energy A2 $,57935
631010,UniValueFonds: Global A,49988
631011,UniValueFonds: Global -net- A,1429686
632995,BGF World Energy A2 $,55739
635297,First Eagle Amundi International AU Cap,880291
658697,Invesco Energy Transition A $ acc,59957
666311,NN (L) Euro High Dividend P Cap €,332986
679180,KanAm grundinvest Fonds i.L.,44942
679182,LEADING CITIES INVEST,619171
691315,AXA R.berg Eurobloc Equity Alpha B,333112
692187,AXA R.berg Global Equity Alpha B €,332884
692189,AXA R.berg US Equity Alpha B €,333037
692194,AXA R.berg Japan Small Cap Alpha B €,57242
692197,Invesco Sust US Structured Eq A $ acc,333094
693827,BNY Mellon Small Cap Euroland A €,333091
724771,Vontobel European Equity B €,333208
728156,Stewart Glo Emerging Markets A acc £,43814
748361,DEKA-IMMOBILIENGLOBAL,43805
749655,Templeton Global Bond A acc €,57809
749704,BMO Responsible Glo EM Eq A Inc $,1429692
756512,SEB Fund 1 Global Chance/Risk Fund C €,1429680
764930,Ethna-AKTIV A,56450
765892,Stewart Worldwide Leaders Sust A acc £,59084
779379,BGF US Flexible Equity A2 $,333058
785343,Templeton Asian Growth A acc $,46505
785349,Franklin Mut European N acc $,333178
791695,Sauren Global Stable Growth A,1429689
795321,BayernInvest Osteuropa Fonds TNL,47408
797735,M&G Global Themes € A acc,48206
798387,Vitruvius Japanese Equity B €,52898
800799,DEGI INTERNATIONAL,46733
802356,Fonds für Stiftungen Invesco,881017
805785,StarCapital Dynamic Bonds - A-€,46886
847101,Fondak A,42641
847103,Allianz Adifonds A €,1428969
847130,DWS Balance Portfolio E,488229
847140,Allianz Rentenfonds A €,57485
847146,Allianz Global Equity Dividend A €,1428972
847160,AL Trust Aktien Deutschland,1428975
847191,Allianz Mobil-Fonds A €,1428978
847192,Allianz Flexi Rentenfonds A €,58826
847400,DWS ESG INVESTA LD,1472208
847402,DWS Akkumula LC,48950
847405,Basler-Aktienfonds DWS,53189
847414,DWS Artificial Intelligence ND,1584237
847415,DWS European Opportunities LD,45620
847426,DWS ESG Convertibles LD,54980
847428,DWS German Equities Typ O,50177
847500,Concentra A €,1428981
847501,Allianz Thesaurus AT €,1428984
847502,Industria A €,1428987
847506,Allianz Vermögensb. Deutschland A €,1428990
847507,Allianz Interglobal A €,1428993
847509,Allianz Rohstofffonds A €,50957
847511,Allianz Fonds Japan A €,57212
847625,Kapital Plus A €,58730
847651,DWS Euro Bond LD,43787
847652,DWS Vermögensbildungsfonds I LD,58718
847707,UniFavorit: Aktien,813254
847805,ODDO BHF Frankfurt-Effekten-Fonds DR-EUR,1428996
847811,FMM-FONDS,43529
848176,Allianz Nebenwerte Deutschland A €,50114
848182,Allianz Wachstum Europa A €,44318
848186,Allianz Biotechnologie A €,1428999
848398,Merck Finck Stiftungsfonds UI,488226
848407,Nomura Asia Pacific,52637
848665,DWS Concept GS&P Food LD,1426695
849082,DWS Qi LowVol Europe NC,47771
849096,DWS Deutschland LC,50882
849098,DWS Global Hybrid Bond Fund LD,880639
849100,UniFonds,1429002
849104,UNIRAK,1472211
849105,UniGlobal,46844
849106,UNIEURORENTA,1472214
872510,TAIWAN FD INC. DL 1,883950
872604,TEMPLETON EM.MKT FD DL-01,833142
890231,HERZFELD CARIBB. BAS. FD,833232
914233,Carmignac Pf Green Gold A € acc,1429695
921205,Pictet Japanese Eq Opportunities P ¥,1429650
921556,UniSector BioPharma A,1429665
921559,UniSector HighTech A,1429668
921590,UniAsiaPacific -net- A,1429662
921717,Barings Europa A € inc,333130
921800,Fidelity Gl. Technology A €,882933
926452,Raiffeisen-Euro-Rent R A,56048
930905,Nestor Osteuropa B,51500
930921,Sauren Global Opportunities,58964
933349,Pictet Water P €,52604
933484,AS Global Innovation Equity A Acc $,1427103
933583,Barings Hong Kong China A € inc,45269
933745,DekaStruktur: 2 ChancePlus,1429671
933882,Albrech & Cie Optiselect P,47123
933913,JPM Europe Strategic Value A dist €,45854
934224,Franklin Mut European A acc $,333163
935667,Pictet Indian Equities P $,53591
937444,Franklin Biotech Discov A acc $,178656
937452,Templeton Global Fund N acc $,332887
937835,BNPP Europe Dividend Classic Cap,333181
939838,Candriam Eq L Biotechnology C,73793
939853,DWS Global Value LD,47180
939855,DWS Russia LC,56765
939942,COMGEST MONDE C,813257
939979,Fidelity European High Yield A €,58550
940541,DEKA-CONVERGENCEAKTIEN CF,50282
941034,Templeton Growth (Euro) A acc €,45188
941035,Templeton Growth (Euro) I acc €,332989
970995,ERSTE Stock Vienna A €,54350
971050,DWS EURORENTA,46130
971129,Raiffeisen-Nachhaltigkeit-Rent R A,923198
971267,UniAsia,1429617
971604,JPM Euroland Equity A dist €,574632
971611,JPM US Smaller Companies A dist $,59081
971655,Templeton Glo Climate Change A Ydis €,332932
