wkn,name,instrument_id
120071,"CARNIVAL PLC DL 1,66",93807
120100,CARNIVAL PAIRED CTF,43046
120159,"NEOGENOMICSINC. DL-,001",338472
120470,TELECOM ITALIA,53885
120471,TELECOM ITALIA RNC,275841
120882,INTERNET THAILAND PCL REG. SHS (FOREIGN) BA 1,880231
121065,LPP S.A. ZY 2,716121
121221,"TEXAS CAP.BANCSHS DL-,01",753429
121232,SUPALAI PCL REG. SHS (NVDRS) BA 1,537266
121806,FINLAB AG,46964
121823,"COASTAL GREENLAND HD-,10",713937
121843,"PETMED EXPRES.INC DL-,001",363843
121862,FORTESCUE METALS GRP-,57587
126215,B+S BANKENSYSTEME AG O.N.,529260
136003,SIAM CEMENT PCL,257571
157021,HORIZON OIL LTD.,347952
157084,LARAMIDE RESOURCES LTD.,245058
157484,COMCAST,57386
157493,ALLIED MOTION TECHS DL-01,751875
157700,ASCENDAS REAL ESTATE INV.TRUST,363711
157770,VALIANT HOLDING,246432
157781,MOLINA HEALTHCARE INC.,254286
157793,BURCON NUTRASCIENCE CORP.,245268
164180,"ANGLOGOLD ASHANTI RC-,25",93855
164281,ALUMINA LTD,340191
164557,TENARIS S.A. NA DL 1,49934
164558,TENARIS S.A. ADR/2DL 1,339045
164623,SPECTRUM PHARMACEUTICALS INC.,363366
164631,ACACIA RESEARCH CORP.,363528
164640,BRASKEM PFD A,363693
164676,"IMPALA PLAT.ADR/1 RC-,025",339087
165235,PCCW LTD.,254937
165378,GRUPO AEROPORTU. SUR. B,351468
165417,NEKTAR THERAPEUTICS,337776
165489,SIFY TECHNO.LTD.ADR IR 10,339204
172912,ALTIUS MINERALS CORP,245772
189946,BORALEX INC. A,718482
200417,ALTRIA GROUP INC.,42590
200455,MIZUHO FINL GRO,340410
213712,FUJI OIL CO. LTD.,1686105
213719,TELKOM SA SOC RC 10,93498
213795,YUE YUEN INDUSTRIAL,339645
215601,FIERA MILANO S.P.A.,959475
250815,"SYNNEX CORP. REGISTERED SHARES DL -,001",552402
251734,NABTESCO CORP.,714081
252092,CROWN HOLDINGS INC.,337761
254463,PHARMAXIS LTD.,348084
254570,LKQ CORP.,338100
255124,SOJITZ CORP.,340344
256332,MINCOR RESOURCES NL,348054
257275,"AZENTA INC. DL-,01",338613
260555,BAVARIA INDUSTRIES GROUP AG,46355
260884,"GLADSTONE COMM. DL-,01",752508
